Azure Managed Disk SKUs per region,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,offer,global,sweden-central,europe-west,europe-north,germany-west-central
,,,standardssd-e3-lrs-disk-mount,,AAF-83446,AAF-83325,AAF-82864,AAF-83268
,,,standardssd-e3-zrs,,,AAF-82367,AAF-82159,
,,,standardssd-e3-zrs-disk-mount,,AAF-83446,AAF-83325,AAF-82864,AAF-83268
,,,standardssd-e4-lrs,,AAF-81602,AAD-37224,AAD-37226,AAD-80363
,,,standardssd-e4-lrs-disk-mount,,AAF-82973,AAF-82724,AAF-83232,AAF-82933
,,,standardssd-e4-zrs,,,AAF-81815,AAF-82002,
,,,standardssd-e4-zrs-disk-mount,,AAF-82973,AAF-82724,AAF-83232,AAF-82933
,,,standardssd-e6-lrs,,AAF-82341,AAD-37214,AAD-37245,AAD-80369
,,,standardssd-e6-lrs-disk-mount,,AAF-82925,AAF-83072,AAF-82802,AAF-83081
,,,standardssd-e6-zrs,,,AAF-81680,AAF-81730,
,,,standardssd-e6-zrs-disk-mount,,AAF-82925,AAF-83072,AAF-82802,AAF-83081
,,,standardssd-e10-lrs,,AAF-82082,AAD-36603,AAD-26020,AAD-80293
,,,standardssd-e10-lrs-disk-mount,,AAF-82516,AAF-82797,AAF-83076,AAF-82843
,,,standardssd-e10-zrs,,,AAF-81626,AAF-82140,
,,,standardssd-e10-zrs-disk-mount,,AAF-82516,AAF-82797,AAF-83076,AAF-82843
,,,standardssd-e15-lrs,,AAF-82177,AAD-36700,AAD-36689,AAD-80290
,,,standardssd-e15-lrs-disk-mount,,AAF-83166,AAF-82629,AAF-83332,AAF-83285
,,,standardssd-e15-zrs,,,AAF-82039,AAF-81897,
,,,standardssd-e15-zrs-disk-mount,,AAF-83166,AAF-82629,AAF-83332,AAF-83285
,,,standardssd-e20-lrs,,AAF-82162,AAD-36607,AAD-26022,AAD-80297
,,,standardssd-e20-lrs-disk-mount,,AAF-82827,AAF-83036,AAF-83341,AAF-82502
,,,standardssd-e20-zrs,,,AAF-82069,AAF-82044,
,,,standardssd-e20-zrs-disk-mount,,AAF-82827,AAF-83036,AAF-83341,AAF-82502
,,,standardssd-e30-lrs,,AAF-81720,AAD-26036,AAD-36618,AAD-80286
,,,standardssd-e30-lrs-disk-mount,,AAF-82967,AAF-82630,AAF-82867,AAF-83452
,,,standardssd-e30-zrs,,,AAF-81666,AAF-81688,
,,,standardssd-e30-zrs-disk-mount,,AAF-82967,AAF-82630,AAF-82867,AAF-83452
,,,standardssd-e40-lrs,,AAF-81807,AAD-36642,AAD-36625,AAD-80308
,,,standardssd-e40-lrs-disk-mount,,AAF-82535,AAF-82836,AAF-82750,AAF-82765
,,,standardssd-e40-zrs,,,AAF-81871,AAF-81895,
,,,standardssd-e40-zrs-disk-mount,,AAF-82535,AAF-82836,AAF-82750,AAF-82765
,,,standardssd-e50-lrs,,AAF-82033,AAD-36676,AAD-36651,AAD-80295
,,,standardssd-e50-lrs-disk-mount,,AAF-83435,AAF-83471,AAF-82985,AAF-82670
,,,standardssd-e50-zrs,,,AAF-81878,AAF-81751,
,,,standardssd-e50-zrs-disk-mount,,AAF-83435,AAF-83471,AAF-82985,AAF-82670
,,,standardssd-e60-lrs,,AAF-82143,AAD-55788,AAD-55752,AAF-78703
,,,standardssd-e60-lrs-disk-mount,,AAF-82821,AAF-82874,AAF-83220,AAF-83066
,,,standardssd-e60-zrs,,,AAF-82158,AAF-82386,
,,,standardssd-e60-zrs-disk-mount,,AAF-82821,AAF-82874,AAF-83220,AAF-83066
,,,standardssd-e70-lrs,,AAF-82182,AAD-55782,AAD-55773,AAF-78726
,,,standardssd-e70-lrs-disk-mount,,AAF-83320,AAF-83256,AAF-82953,AAF-82918
,,,standardssd-e70-zrs,,,AAF-81778,AAF-81796,
,,,standardssd-e70-zrs-disk-mount,,AAF-83320,AAF-83256,AAF-82953,AAF-82918
,,,standardssd-e80-lrs,,AAF-81577,AAD-55792,AAD-55774,AAF-78715
,,,standardssd-e80-lrs-disk-mount,,AAF-83394,AAF-83060,AAF-83434,AAF-82563
,,,standardssd-e80-zrs,,,AAF-81678,AAF-82196,
,,,standardssd-e80-zrs-disk-mount,,AAF-83394,AAF-83060,AAF-83434,AAF-82563
,,,ultrassd-iops,,AAF-83965,AAD-80688,AAD-80524,AAF-78130
,,,ultrassd-stored,,AAF-83963,AAD-80690,AAD-80523,AAF-78132
,,,ultrassd-throughput,,AAF-83966,AAD-80685,AAD-80527,AAF-78116
,,,ultrassd-vcpu,,AAF-83964,AAD-80689,AAD-80526,AAF-78129
